343.00	240.00	0.98811	1.0120	5.1835	5.6211	16.922	69.867	74.603	1599.5	-0.019698	410.60	0.67199	liquid
344.00	240.00	0.98755	1.0126	5.2579	5.6957	17.139	69.782	74.614	1599.8	-0.019649	405.14	0.67280	liquid
345.00	240.00	0.98698	1.0132	5.3323	5.7703	17.356	69.697	74.625	1600.0	-0.019600	399.80	0.67360	liquid
346.00	240.00	0.98641	1.0138	5.4066	5.8450	17.572	69.611	74.637	1600.3	-0.019551	394.58	0.67439	liquid
347.00	240.00	0.98583	1.0144	5.4810	5.9196	17.787	69.525	74.648	1600.4	-0.019502	389.48	0.67516	liquid
348.00	240.00	0.98525	1.0150	5.5554	5.9943	18.002	69.439	74.660	1600.6	-0.019452	384.49	0.67592	liquid
349.00	240.00	0.98467	1.0156	5.6298	6.0689	18.216	69.353	74.672	1600.7	-0.019403	379.61	0.67666	liquid
350.00	240.00	0.98408	1.0162	5.7042	6.1436	18.430	69.266	74.684	1600.7	-0.019354	374.83	0.67739	liquid
351.00	240.00	0.98349	1.0168	5.7787	6.2183	18.643	69.180	74.696	1600.8	-0.019304	370.16	0.67811	liquid
352.00	240.00	0.98289	1.0174	5.8531	6.2930	18.855	69.093	74.708	1600.8	-0.019255	365.58	0.67881	liquid
353.00	240.00	0.98228	1.0180	5.9276	6.3677	19.067	69.006	74.721	1600.7	-0.019206	361.11	0.67950	liquid
354.00	240.00	0.98168	1.0187	6.0020	6.4424	19.279	68.919	74.734	1600.6	-0.019156	356.73	0.68018	liquid
355.00	240.00	0.98106	1.0193	6.0765	6.5172	19.490	68.832	74.747	1600.5	-0.019106	352.44	0.68084	liquid
356.00	240.00	0.98045	1.0199	6.1509	6.5919	19.700	68.745	74.760	1600.4	-0.019057	348.24	0.68149	liquid
357.00	240.00	0.97983	1.0206	6.2254	6.6667	19.910	68.658	74.773	1600.2	-0.019007	344.13	0.68212	liquid
358.00	240.00	0.97920	1.0212	6.2999	6.7415	20.119	68.570	74.787	1600.0	-0.018957	340.10	0.68274	liquid
359.00	240.00	0.97857	1.0219	6.3744	6.8163	20.327	68.483	74.800	1599.7	-0.018907	336.15	0.68335	liquid
360.00	240.00	0.97794	1.0226	6.4490	6.8911	20.535	68.396	74.814	1599.5	-0.018857	332.28	0.68394	liquid
361.00	240.00	0.97730	1.0232	6.5235	6.9659	20.743	68.308	74.828	1599.1	-0.018807	328.50	0.68452	liquid
362.00	240.00	0.97666	1.0239	6.5980	7.0407	20.950	68.220	74.843	1598.8	-0.018756	324.78	0.68509	liquid
363.00	240.00	0.97601	1.0246	6.6726	7.1156	21.157	68.133	74.857	1598.4	-0.018706	321.14	0.68565	liquid
364.00	240.00	0.97536	1.0253	6.7472	7.1905	21.362	68.045	74.872	1598.0	-0.018655	317.58	0.68619	liquid
365.00	240.00	0.97470	1.0260	6.8217	7.2653	21.568	67.958	74.887	1597.6	-0.018604	314.08	0.68671	liquid
366.00	240.00	0.97404	1.0266	6.8963	7.3402	21.773	67.870	74.903	1597.1	-0.018553	310.65	0.68723	liquid
367.00	240.00	0.97338	1.0273	6.9710	7.4151	21.977	67.783	74.918	1596.6	-0.018502	307.29	0.68773	liquid
368.00	240.00	0.97271	1.0281	7.0456	7.4901	22.181	67.695	74.934	1596.1	-0.018451	303.99	0.68822	liquid
369.00	240.00	0.97204	1.0288	7.1202	7.5650	22.384	67.607	74.950	1595.5	-0.018399	300.76	0.68870	liquid
370.00	240.00	0.97136	1.0295	7.1949	7.6400	22.587	67.520	74.967	1594.9	-0.018348	297.58	0.68916	liquid
371.00	240.00	0.97068	1.0302	7.2695	7.7149	22.790	67.433	74.983	1594.3	-0.018296	294.47	0.68961	liquid
372.00	240.00	0.97000	1.0309	7.3442	7.7899	22.992	67.345	75.000	1593.7	-0.018244	291.42	0.69005	liquid
373.00	240.00	0.96931	1.0317	7.4189	7.8649	23.193	67.258	75.018	1593.0	-0.018191	288.42	0.69047	liquid
374.00	240.00	0.96862	1.0324	7.4936	7.9400	23.394	67.171	75.035	1592.3	-0.018139	285.48	0.69089	liquid
375.00	240.00	0.96792	1.0331	7.5683	8.0150	23.594	67.083	75.053	1591.6	-0.018086	282.59	0.69129	liquid
376.00	240.00	0.96722	1.0339	7.6431	8.0901	23.794	66.996	75.071	1590.8	-0.018033	279.75	0.69167	liquid
377.00	240.00	0.96652	1.0346	7.7178	8.1652	23.994	66.909	75.089	1590.0	-0.017980	276.97	0.69205	liquid
378.00	240.00	0.96581	1.0354	7.7926	8.2403	24.192	66.823	75.108	1589.2	-0.017927	274.24	0.69241	liquid
379.00	240.00	0.96509	1.0362	7.8674	8.3154	24.391	66.736	75.127	1588.3	-0.017873	271.55	0.69276	liquid
380.00	240.00	0.96438	1.0369	7.9422	8.3905	24.589	66.649	75.146	1587.5	-0.017819	268.92	0.69310	liquid
381.00	240.00	0.96366	1.0377	8.0170	8.4657	24.786	66.562	75.166	1586.6	-0.017765	266.33	0.69342	liquid
382.00	240.00	0.96293	1.0385	8.0918	8.5408	24.983	66.476	75.186	1585.6	-0.017711	263.79	0.69374	liquid
383.00	240.00	0.96220	1.0393	8.1667	8.6160	25.180	66.390	75.206	1584.7	-0.017656	261.29	0.69404	liquid
384.00	240.00	0.96147	1.0401	8.2416	8.6913	25.376	66.304	75.227	1583.7	-0.017601	258.83	0.69433	liquid
385.00	240.00	0.96073	1.0409	8.3165	8.7665	25.572	66.218	75.248	1582.7	-0.017546	256.42	0.69461	liquid
386.00	240.00	0.95999	1.0417	8.3914	8.8418	25.767	66.132	75.269	1581.7	-0.017491	254.05	0.69487	liquid
387.00	240.00	0.95925	1.0425	8.4663	8.9170	25.962	66.046	75.291	1580.6	-0.017435	251.72	0.69512	liquid
388.00	240.00	0.95850	1.0433	8.5412	8.9923	26.156	65.960	75.313	1579.5	-0.017379	249.43	0.69537	liquid
389.00	240.00	0.95775	1.0441	8.6162	9.0677	26.350	65.875	75.335	1578.4	-0.017323	247.18	0.69559	liquid
390.00	240.00	0.95699	1.0449	8.6912	9.1430	26.544	65.790	75.358	1577.3	-0.017266	244.97	0.69581	liquid
391.00	240.00	0.95623	1.0458	8.7662	9.2184	26.737	65.705	75.381	1576.2	-0.017209	242.79	0.69602	liquid
392.00	240.00	0.95547	1.0466	8.8412	9.2938	26.929	65.620	75.405	1575.0	-0.017152	240.65	0.69621	liquid
393.00	240.00	0.95470	1.0474	8.9163	9.3692	27.121	65.535	75.428	1573.8	-0.017094	238.55	0.69639	liquid
394.00	240.00	0.95393	1.0483	8.9914	9.4446	27.313	65.451	75.453	1572.5	-0.017036	236.48	0.69657	liquid
395.00	240.00	0.95316	1.0491	9.0665	9.5201	27.504	65.366	75.477	1571.3	-0.016978	234.44	0.69672	liquid
396.00	240.00	0.95238	1.0500	9.1416	9.5956	27.695	65.282	75.502	1570.0	-0.016920	232.44	0.69687	liquid
397.00	240.00	0.95160	1.0509	9.2167	9.6711	27.886	65.198	75.528	1568.7	-0.016861	230.47	0.69701	liquid
398.00	240.00	0.95081	1.0517	9.2919	9.7466	28.076	65.114	75.553	1567.4	-0.016801	228.53	0.69713	liquid
399.00	240.00	0.95002	1.0526	9.3671	9.8222	28.265	65.031	75.579	1566.0	-0.016742	226.63	0.69725	liquid
400.00	240.00	0.94922	1.0535	9.4423	9.8978	28.454	64.947	75.606	1564.7	-0.016682	224.75	0.69735	liquid
401.00	240.00	0.94843	1.0544	9.5175	9.9734	28.643	64.864	75.633	1563.3	-0.016621	222.90	0.69744	liquid
402.00	240.00	0.94762	1.0553	9.5928	10.049	28.832	64.781	75.660	1561.9	-0.016561	221.09	0.69752	liquid
403.00	240.00	0.94682	1.0562	9.6681	10.125	29.020	64.699	75.688	1560.4	-0.016499	219.30	0.69759	liquid
404.00	240.00	0.94601	1.0571	9.7434	10.200	29.207	64.616	75.716	1559.0	-0.016438	217.54	0.69765	liquid
405.00	240.00	0.94520	1.0580	9.8187	10.276	29.395	64.534	75.745	1557.5	-0.016376	215.80	0.69769	liquid
406.00	240.00	0.94438	1.0589	9.8941	10.352	29.581	64.452	75.774	1556.0	-0.016313	214.10	0.69773	liquid
407.00	240.00	0.94356	1.0598	9.9695	10.428	29.768	64.370	75.803	1554.4	-0.016251	212.42	0.69776	liquid
